que that
iglesia church
película movie
película film
entonces then
entonces so
banda band
banda banda
banda gang
cuatro four
cuatro cuatro
zona zone
zona area
televisión tv
televisión television
televisión televisión
principal main
principal principal
tuvo had
carlos karl
carlos charles
carlos carl
carlos carlos
carlos charlie
otra another
rey king
rey rey
premio prize
premio award
hace does
hace makes
km² km²
edición edit
edición edition
edición editing
tenía had
premios rewards
premios awards
premios prizes
premios award
sitio website
sitio siege
sitio site
futbolistas footballers
bien good
bien well
bien fine
segundo second
mar mar
mar sea
mar ocean
poco little
orden order
estadounidense american
agua water
tierra earth
tierra land
tierra tierra
tierra soil
título title
ellos them
ellos they
earth earth
están are
división division
canción song
fecha date
república republic
trabajo job
trabajo work
especie species
luis louis
luis louie
luis ludwig
luis luis
caso case
dentro inside
obras works
obras plays
color color
color colour
distrito district
superficie surface
superficie area
copa copa
copa cup
muchos many
línea line
francisco francisco
francisco francis
les les
siguiente following
siguiente next
área area
grandes large
grandes big
grandes grandes
censo census
liga league
liga liga
estas these
muerte death
medio medium
medio medio
medio half
través thru
política policy
política politics
menos minus
menos less
largo largo
largo long
buenos good
hijo son
hecho made
hecho done
hecho fact
algunas some
carrera career
carrera race
carrera carrera
poder power
pueblo town
pueblo pueblo
pueblo people
pueblo village
departamento department
departamento apartment
localidades places
localidades locations
localidades localities
hizo did
veces times
reino kingdom
central central
todas all
york york
ejemplo sample
ejemplo example
género genre
género gender
género genus
padre father
isbn isbn
campo countryside
campo field
campo camp
campo campo
isla island
isla isla
hacer do
hacer make
hacer making
misma same
ante suede
ante ante
conocido known
conocido acquaintance
http http
países countries
frente front
frente forehead
frente brow
antonio anthony
antonio tony
antonio antony
antonio antonio
director director
días days
española spanish
partir depart
versión version
varias several
varias various
actual current
momento timing
momento moment
lista ready
lista list
jpg jpg
densidad density
campeonato championships
campeonato championship
tarde late
tarde evening
tarde afternoon
tienen have
ejército military
ejército army
porque because
estación station
observatorio observatory
aires airs
aires aires
actualmente currently
desarrollo development
escuela schools
escuela school
programa program
programa programme
información info
información information
importante important
último last
último latest
canciones songs
uso usage
uso uso
uso use
juegos gaming
juegos games
localidad locality
base base
punto punto
punto dot
punto point
posición position
alemania germany
alemania wehrmacht
ubicación placement
ubicación location
partidos matches
grupos groups
john john
miembros memberships
miembros membership
miembros members
pedro pedro
pedro peter
capital capital
primeros early
primeros firsts
primeros first
teatro theater
teatro theatre
cualquier any
datos data
manera way
laboratorio laboratory
laboratorio lab
socorro relief
libro book
estudios studios
estudios studies
diferentes different
barcelona barcelona
nivel level
llamado called
mayoría majority
unión union
unión bonding
unión unión
edad age
artículos articles
artículos items
juego gaming
juego game
juego gambling
arte arts
arte art
arte artwork
especies species
europa europe
europa europa
estilo style
estilo styling
cine cinema
cine movie
cine movies
cine cinemas
cine films
cine film
proyecto project
center center
selección selection
costa costa
costa coastline
costa coast
equipos equipment
equipos equipments
equipos teams
origen origin
origen source
origen origins
código code
museo museum
puntos dots
puntos points
puntos stitches
perú perú
perú peru
militar military
américa america
américa américa
américa americas
ubicado located
producción output
producción production
italia italia
italia italy
manuel manuel
manuel manny
manuel emmanuel
tener having
tener have
wikipedia wikipedia
plantas plants
plantas plant
comenzó started
comenzó began
debe owes
debe must
siempre always
metros meters
metros meter
metros metres
oro golden
oro gold
posteriormente subsequently
posteriormente later
casi almost
casi nearly
construcción building
construcción construction
local local
francés frenchman
francés french
cultura culture
cultura cultural
santiago james
santiago santiago
cerca close
cerca near
cerca nearby
estudio study
estudio studio
principales main
usuario user
com com
finalmente finally
cinco cinco
cinco five
anterior anterior
anterior earlier
anterior previous
cargo cargo
cargo charge
batalla battle
derecho right
derecho law
imagen image
gracias thanks
gracias thank
kitt kitt
puerto puerto
puerto port
puerto harbour
torneo tournament
mucho much
social social
millones million
millones millions
comunidad community
fin end
fin fin
acuerdo agreement
acuerdo arrangement
lado side
colombia columbia
colombia colombian
colombia colombia
servicio service
rock rock
político politician
político political
películas films
películas movies
ver see
ver view
fuera outside
fuera out
pesar regret
mediante through
popular popular
muchas many
hoy today
tal tal
tal such
alto alto
alto high
alto halt
alto tall
cuerpo body
sino sino
sino but
siguientes following
disco album
disco disco
disco disc
disco disk
finales endings
finales finals
finales final
sociedad society
sociedad partnership
sociedad sociedad
tema topic
tema theme
tema subject
dirección direction
dirección directorate
dirección management
dirección address
hombres men
hombres mens
última last
última latest
original original
estadio arena
estadio estadio
estadio stadium
ambos both
miguel mike
miguel miguel
miguel michael
ley ley
ley law
ley act
oeste west
oeste western
mujeres womens
mujeres mujeres
mujeres women
obs obs
incluso even
cambio change
cambio exchange
style style
jugador player
jugador gambler
jugador gamer
instituto institute
público audience
público audiences
público public
miembro member
miembro limb
pues well
superior superior
superior higher
media media
media average
california california
parque park
tan tan
llegó arrived
archivo archive
archivo file
archivo archives
radio radio
ahora now
parís paris
world world
cruz cruz
cruz tails
cruz cross
cest cest
cabo corporal
cabo cape
cabo cabo
brasil brazil
brasil brasil
unido united
red network
red grid
red net
red red
aquí here
canal canal
canal channel
movimiento motion
movimiento move
movimiento movement
revista magazine
revista journal
éxito successful
éxito success
relación relation
relación relationship
elecciones election
elecciones elections
plaza plaza
plaza square
grande large
grande big
grande grande
distribución distribution
distribución distributive
compañía company
islas islands
proceso process
alrededor around
musical musical
primero first
territorio territory
dice says
hombre man
león lion
león león
león leon
león leo
algo something
voz voice
década decade
madre mother
iii iii
organización organization
organización organisation
organización organizing
monte mount
monte monte
aún still
aún yet
decir say
decir tell
goles goals
victoria victoria
sede headquarters
sede headquarter
importantes important
resultado outcome
resultado result
china china
xix xix
xix nineteenth
calle calle
calle street
papel paper
van van
medios media
medios means
francesa french
dio dio
dio gave
aparece appears
empresa company
empresa business
empresa enterprise
fernando fernand
fernando ferdinand
fernando fernando
don don
propio own
mapa map
mapa maps
civil civil
civil civilians
civil civilian
venezuela venezuela
educación educational
educación education
término term
llamada call
llamada called
ciudades towns
ciudades cities
alta high
alta alta
igual equal
igual same
usa usa
allí there
londres london
tercera third
edificio building
fallecimiento death
fallecimiento demise
fuerzas forces
posible possible
antiguo antique
antiguo ancient
antiguo old
antiguo former
natural natural
álbumes albums
paso step
paso paso
paso pass
mujer wife
mujer woman
mujer female
mujer women
fuerza strength
fuerza force
altura height
hijos sons
etc etc
garcía garcia
garcía garcía
servicios services
villa villa
villa village
conocida known
campeón champ
campeón champion
autor author
modo mode
personajes characters
conjunto set
conjunto ensemble
eso that
alemán german
meses months
único unique
actor actor
parece seems
parece looks
antigua antique
antigua ancient
antigua old
antigua antigua
especial specials
especial special
interior inner
interior interior
plata silver
lemmon lemmon
japón japan
municipal municipal
control control
consejo advice
consejo tip
consejo council
menor lesser
menor minor
seis seis
seis six
libre free
llegar arriving
llegar arrive
valle valle
valle valley
festival festival
personaje character
trata treats
trata trafficking
principalmente mainly
principalmente primarily
principalmente mostly
david david
castillo castle
castillo castillo
publicado published
publicado posted
cantante singer
referencia benchmark
referencia referencing
referencia reference
inglaterra england
resto rest
común common
editorial publisher
editorial publishing
editorial editorial
deporte sport
deporte sports
saint saint
espacio spacing
espacio space
asociación partnership
asociación association
hija daughter
acción action
actores actors
hermano bro
hermano brother
fundación foundation
blanco targets
blanco white
blanco blank
blanco target
blanco blanco
profesional professional
episodio episode
cultural cultural
principios principles
principios principle
imperio empire
ganó won
dicho said
nunca never
investigación investigation
investigación inquiry
investigación research
prefijo prefix
estar being
estar be
municipios municipalities
from from
problemas troubles
problemas trouble
problemas problems
problemas problem
modelo model
svg svg
favor favor
favor please
favor favour
actividad activity
joven young
formación training
formación formation
lugares places
lugares locations
incluyendo including
planta plants
planta plant
planta floor
período period
montañas mountains
montañas mountain
ronda ronda
ronda round
clase class
especialmente particularly
especialmente especially
especialmente specially
oficina bureau
oficina office
alcalde mayor
pasó passed
pasó happened
estaban were
longitud length
longitud longitude
temas topics
temas themes
temas issues
políticos politics
políticos politicians
deportivo sporting
deportivo deportivo
deportivo sports
arquitectura architecture
creación creation
creación creating
barrio neighborhood
barrio barrio
barrio neighbourhood
argentino argentinean
argentino argentino
argentino argentinian
argentino argentine
libros books
novela novel
olímpicos olympic
jorge jorge
jorge george
razas breed
razas races
razas breeds
academia academy
academia academia
jefe chief
jefe boss
defensa defense
defensa defence
características characteristics
características features
honor honour
honor honor
incluye include
incluye includes
existen exist
amor amor
amor love
fuente source
fuente font
fuente fountain
fuente fuente
nuevos new
martín martín
martín martin
situación status
situación situation
nombrado named
nombrado appointed
existe exists
ellas them
ellas they
derechos copyright
derechos rights
ministro minister
interés interest
series series
texto text
escritores writers
actriz actress
persona person
capacidad capability
capacidad capacity
capacidad ability
capacidad capabilities
artes arts
artes gear
artes gears
participó participated
cantidad amount
cantidad quantity
situada situated
fuentes sources
fuentes fonts
fuentes fountains
fuentes fuentes
vista vista
vista view
luz light
luz luz
baja baja
baja low
paz paz
paz peace
tercer third
vuelta lap
vuelta return
vuelta vuelta
noche evening
noche night
muestra sample
muestra shows
rusia russian
rusia russia
personal personal
personal personnel
personal staff
robert robert
aeropuerto airport
apoyo support
semana week
palacio palacio
palacio palace
propia own
pacífico pacific
pacífico peaceful
escritor writer
castilla castile
castilla castilla
castilla castille
profesor professor
profesor teacher
comuna commune
roma rome
roma roma
diseño design
casos cases
negro nigga
negro black
negro negro
camino path
camino road
camino way
camino camino
ayuda help
ayuda aid
nombres names
podría could
causa cause
causa causes
horario timetable
horario hours
horario schedule
ciencias science
ciencias sciences
últimos last
últimos latest
tamaño size
principio principle
periodo period
nacimiento birth
nada nothing
nada nada
etapa phase
etapa stage
actualidad current
actualidad topical
pequeño small
pequeño little
pequeño tiny
santo santo
santo holy
santo saint
zonas zones
zonas areas
lópez lópez
lópez lopez
referencias referencing
referencias referrals
referencias references
única unique
ediciones editions
ediciones edits
dios god
debut debut
presente present
congreso congress
guitarra guitar
australia australia
qué what
pablo paul
pablo barney
pablo pablo
elementos elements
relaciones relationships
relaciones relationship
relaciones relations
compuesto composite
compuesto compound
horas hours
partes parts
text text
lengua tongue
lengua language
diversos miscellaneous
militares military
torre torre
torre tower
torre rook
dado given
actividades activities
nacionales national
nacionales nationals
cantón guangzhou
cantón canton
nuevas new
sencillo simple
sencillo single
sencillo easy
federal federal
participación participating
participación involvement
participación turnout
participación participation
fuerte strong
fuerte fuerte
fuerte fort
italiano italian
primeras firsts
primeras first
posee possesses
posee owns
jugadores players
jugadores gamers
jugadores gamblers
lleva carries
seguridad security
seguridad safety
administración admin
administración management
administración administration
empresas businesses
empresas companies
empresas enterprises
mercado mercado
mercado marketplace
mercado market
gonzález gonzalez
gonzález gonzales
gonzález gonzález
lucha wrestling
lucha struggles
lucha fighting
lucha fight
lucha struggle
estructura structure
jesús jesús
jesús jesus
ocupación occupancy
ocupación occupation
cet cet
nacido born
enrique henri
enrique enrique
enrique harry
enrique henry
literatura literature
católica catholic
armas arms
armas weapons
armas firearms
armas guns
energía energy
idioma language
valencia valencia
valencia valence
cabeza head
cabeza heads
gobernador governor
cuyo whose
geográfica geographic
geográfica geographical
córdoba córdoba
córdoba cordova
córdoba cordoba
mes month
situado located
situado situated
diferencia variance
diferencia difference
objetivo target
objetivo objective
objetivo goal
ruta route
ruta ruta
economía economics
economía economy
histórico historic
histórico historical
india indian
india india
flores flowers
flores flower
flores flores
visita visiting
visita visit
conde count
conde earl
conde conde
fase phase
william william
resultados results
nos we
nos us
niños kids
niños children
tales such
tales tales
https https
pequeña small
pequeña little
presenta presents
campaña campaigning
campaña campaign
dar dar
dar give
fernández thompson
fernández fernández
fernández fernandez
fernández thomson
colegio school
colegio college
occidental occidental
occidental west
occidental western
aproximadamente approximate
aproximadamente approximately
aproximadamente roughly
ocasiones occasions
tropas troops
tropas troop
sección section
presencia presence
permite allows
permite permits
sentido sense
uruguay uruguayan
uruguay uruguay
ficha tab
top top
siete siete
siete seven
ets std
ets ets
ets stds
animales kennels
animales animals
animales animal
animales pets
esposa wife
ríos rios
ríos ríos
ríos rivers
catalina katherine
catalina catalina
catalina catherine
may may
murió died
realizar perform
realizar performing
bar bar
medalla medal
función function
usuarios users
usuarios user
programas programmes
programas programs
des des
calidad quality
artistas artist
artistas performers
artistas artists
similar similar
nuestra our
nuestra ours
nuestra nuestra
independencia independence
buena buena
buena good
sistemas systems
significa means
paul paul
virgen virgin
virgen madonna
transporte transportation
transporte transport
pueblos towns
pueblos villages
pueblos peoples
rodríguez rodriguez
rodríguez rodríguez
coordenadas coordinate
coordenadas coordinates
vol vol
valor courage
valor value
valor valor
internacionales international
unidad unity
unidad unit
crear create
crear creating
imágenes pictures
imágenes images
inicio home
inicio start
salud cheers
salud health
contiene contains
sierra sierra
idea idea
llevó led
minutos minutes
minutos min
diego diego
verano summer
sol sun
sol sunshine
sol sol
teoría theory
revolución revolution
entrada entry
entrada entrance
entrada input
mejores better
mejores best
mando command
decidió decided
james james
ciencia science
dirigida directed
records records
aire air
sector sector
importancia importance
importancia significance
ataque attack
flora flora
comunicación communication
comunicación comm
comunicación communications
jean jean
puente bridge
matrimonio marriage
material material
material materials
humanos humans
humanos human
mitad half
realidad reality
gente people
cámara chamber
cámara camera
escudo shield
escudo shields
pérez perez
pérez pérez
aguas aguas
aguas waters
acceso access
acceso accessing
clasificación rating
clasificación sorting
clasificación classification
clasificación ranking
clasificación qualifying
mano mano
mano hand
sigue follow
cuya whose
sociales social
problema problem
trabajos work
trabajos jobs
trabajos works
elegido chosen
elegido elected
independiente independent
independiente freelance
independiente independiente
futbolista footballer
comercial commercial
metal metal
diario daily
diario diary
diario journal
palabra word
carácter character
falta lack
falta missing
reina queen
reina reina
corte corte
corte cutting
corte cut
corte court
domingo sunday
libertad freedom
libertad freedoms
libertad liberty
libertad libertad
vía track
vía via
xviii xviii
xviii eighteenth
unidades units
capitán captain
capitán skipper
bgcolor bgcolor
políticas policy
políticas politics
políticas policies
sevilla seville
jugó played
video video
considerado considered
considerado thoughtful
considerado considerate
comisión commission
comisión committee
lima lima
lima lime
alberto albert
alberto alberto
alberto steven
comienza begins
comienza starts
velocidad velocity
velocidad speed
felipe felipe
felipe philip
felipe phillip
objetos objects
escribió wrote
ministerio ministry
creado created
xvi xvi
xvi sixteenth
oriental oriental
oriental eastern
hermanos brethren
hermanos siblings
hermanos brothers
edificios buildings
tierras lands
tierras earths
tierras land
cosas things
cosas stuff
michael michael
británico british
áfrica africa
izquierda left
cambios changes
cambios change
martínez martinez
martínez martínez
canadá canada
alfonso afonso
alfonso alphonse
alfonso alfonso
lanzado released
lanzado launched
bandera flag
bandera banner
videojuegos videogames
videojuegos gaming
rica rich
rica rica
verde green
templo temple
raza raza
raza breed
raza race
avenida avenue
regional regional
posterior subsequent
posterior posterior
biblioteca library
publicó posted
rojo red
títulos securities
títulos titles
títulos degrees
utiliza uses
dijo said
reporte report
blancos whites
blancos white
blancos targets
diez diez
diez ten
ángel ángel
ángel angel
ecuador equator
ecuador ecuador
señor sir
señor mister
señor lord
productos commodities
productos products
portugal portugal
salvador saviour
salvador savior
salvador salvador
manos hands
carretera highway
carretera road
escrito written
industria industries
industria industry
industria handyman
entrenador trainer
entrenador coach
palabras words
padres fathers
padres parents
padres parent
sánchez sanchez
sánchez sánchez
policía cop
policía police
policía policeman
líder leader
fondo fund
fondo background
productor producer
gira tour
técnica technical
técnica technician
técnica technique
ninguna none
príncipe prince
áreas areas
encontrar finding
encontrar find
plan plan
artista entertainer
artista performer
artista artist
formas shapes
formas forms
formas ways
von von
rafael raphael
rafael rafael
atlético athletic
atlético atletico
atlético atlético
jun jun
catedral cathedral
generalmente generally
generalmente usually
cuarto room
cuarto fourth
saludos greetings
temporadas seasons
ambas both
colección collection
cadena cadena
cadena string
cadena chain
music music
reyes kings
reyes reyes
combate combat
combate battle
mayores seniors
mayores older
azul blue
motivo motif
motivo motive
motivo reason
motivo plea
líneas lines
pasado past
páginas pages
españoles spaniards
medida measure
medida measurement
medida measured
influencia influence
influencia sway
lago lake
condiciones terms
condiciones conditions
oficiales officials
oficiales officers
hospital hospital
ocho eight
ocho ocho
fuego fire
piedra stone
piedra rock
sub sub
federación federation
black black
constitución constitution
tratado treatise
tratado treaty
razón reason
mil thousand
mil mil
comercio commerce
comercio trading
comercio trade
pop pop
distancia distance
estudiantes students
estudiantes student
internet internet
episodios episodes
propiedad property
propiedad ownership
económica economic
económica economy
marca brand
marca trademark
marca mark
tipos types
baloncesto basketball
ene jan
contenido content
contenido contents
todavía still
anteriores earlier
anteriores previous
haciendo doing
haciendo making
sala sala
sala room
estrella estrella
estrella star
viaje voyage
viaje travel
viaje journey
viaje trip
rosa pink
rosa rose
rosa rosa
jóvenes youth
jóvenes young
realizado performed
formato formatting
formato format
tour tour
prueba try
prueba test
prueba proof
peso weight
peso peso
cómo how
washington washington
mal wrong
mal bad
mal mal
mal evil
jersey sweater
jersey jersey
locales premises
locales local
locales locals
der der
marco marcus
marco frame
marco marco
sep pmi
sep sep
llega arrives
daniel daniel
musicales musicals
musicales musical
eduardo eduardo
eduardo edward
oct oct
acerca about
duque duke
duque duque
amigo friend
empezó began
evitar avoiding
evitar avoid
evitar avoidance
emperador emperor
restos remains
ingresos revenue
ingresos earnings
ingresos income
ingresos revenues
ingresos receipts
santos santos
santos saints
obispo bishop
menudo often
pocos few
mediados mid
toma toma
toma take
toma takes
campos fields
campos campos
campos camps
nov nov
mexicano mexican
europea european
kilómetros kilometres
kilómetros miles
kilómetros kilometers
justicia justice
justicia righteousness
justicia fairness
ago ago
ago aug
bastante fairly
bastante pretty
love love
señora madam
señora mistress
señora lady
señora madame
deben must
realiza performs
dic dec
dic cid
dic dic
ana ana
ana anne
ana anna
naturales natural
alejandro alejandro
alejandro alexander
publicación publishing
publicación post
publicación publication
figura figure
soldados soldiers
soldados welded
soldados soldier
blanca blanche
blanca blanca
blanca white
aves poultry
aves birds
aves bird
peter peter
pie foot
pie pie
hora hour
hora time
amigos friends
particular particular
numerosos numerous
crítica criticism
crítica critics
crítica critic
crítica critical
maestro maestro
maestro master
maestro teacher
cuba cuban
cuba cuba
asia asian
asia asia
casas homes
casas casas
casas houses
motor engine
motor motor
efecto effect
completo full
completo complete
sencillos singles
trabajó worked
crecimiento growth
doctor doctor
pequeños small
autores authors
junta gasket
junta board
junta junta
europeo european
nuevamente again
grado grade
grado degree
facultad faculty
cataluña catalunya
cataluña catalonia
extremo extreme
tradicional traditional
derecha right
niño boy
niño toddler
niño kid
niño child
plantilla staffing
plantilla template
votos votes
votos vows
banco banco
banco bank
banco bench
consiguió got
contrato contract
pintura paint
pintura painting
ruso russian
cuenca basin
cuenca cuenca
cuenca watershed
batería battery
batería drums
diputados mps
diputados members
diputados deputies
pasa happens
pasa passes
pasa pass
andrés andrei
andrés andrew
andrés andrés
máximo max
máximo maximus
máximo maximum
deportes sport
deportes sports
representa represents
representa depicts
representa represent
recursos resource
recursos resources
misión mission
compositor songwriter
compositor composer
corresponden correspond
futuro future
futuro futures
ángeles angels
utilizado used
vicente vicente
vicente vincent
vicente val
terminó ended
tecnología tech
tecnología technologies
tecnología technology
trabajar work
trabajar working
distintos different
considera considers
tiempos times
ramón ramón
ramón ramone
ramón raymond
ramón ramon
fiesta fiesta
fiesta party
smith smith
jardín garden
jardín gardens
madera wooden
madera wood
madera lumber
madera timber
inferior lower
inferior inferior
inferior bottom
clubes clubs
mexicana mexicana
mexicana mexican
incluyen include
alcanzar reaching
frontera border
frontera boundary
frontera frontier
hab hab
atención attention
digital digital
torres towers
torres torres
doble double
referirse refer
comandante major
comandante commandant
comandante commander
corazón heart
corazón corazón
esos those
secretario registrar
secretario secretary
letras letters
letras lyrics
lenguas languages
vivo vivo
vivo alive
xvii seventeenth
xvii xvii
encuentro meeting
encuentro encounter
obtener obtain
obtener get
originalmente originally
naturaleza nature
claro clear
claro sure
claro claro
existencia existence
man man
guatemala guatemala
guatemala guatemalan
bajos low
bajos bass
aragón aragón
aragón aragon
juega play
juega plays
rico rico
rico yummy
rico rich
sonido sound
usar use
mensajes messages
mensajes messaging
mensajes message
firme firm
firme sign
mesa table
mesa mesa
granada grenada
granada pomegranate
granada granada
granada grenade
antiguos ancient
antiguos ancients
pasar pass
objeto object
generales generals
generales general
formado formed
apertura aperture
apertura openness
apertura opening
geografía geography
análisis analytics
análisis analyses
análisis analysis
protección protecting
protección protective
protección protection
géneros genders
géneros genres
géneros genera
naciones nations
familias families
ferrocarril railways
ferrocarril rail
ferrocarril railway
ferrocarril railroad
notas notes
american american
proyectos projects
white white
funciones functions
funciones features
corona krona
corona crown
corona corona
apareció appeared
clima climate
clima weather
guillermo william
guillermo guillermo
guillermo wilhelm
prensa press
prensa newspapers
haya hague
haya beech
escena scene
provincial provincial
versiones versions
www www
isabel isabella
isabel elizabeth
isabel isabelle
isabel elisabeth
isabel isabel
isabel isobel
gómez gomez
gómez gómez
numerosas numerous
puerta gate
puerta door
mario mario
mario marius
romano roman
romano romano
griego greek
thomas thomas
all all
habla talk
habla speaks
habla speak
cierto true
crisis crises
crisis crisis
efectos effects
memoria memory
orquesta orchestra
creó created
siglos centuries
montaña mountain
montaña mountains
mantener keeping
mantener maintain
mantener keep
#aaa #aaa
austria austria
llegada arrival
construido built
construido constructed
martin martin
berlín berlin
llama flame
llama call
directamente straight
directamente direct
directamente directly
lanzamiento release
lanzamiento launches
lanzamiento launching
lanzamiento launch
comité committee
javier xavier
javier javier
capilla chapel
probablemente probably
probablemente likely
larga long
colspan colspan
bolivia bolivian
bolivia bolivia
poeta poet
tradición tradition
podía could
provincias provinces
produce produces
autónoma autonomous
hojas leaves
hojas leaf
hojas sheets
hojas blades
ricardo richard
ricardo ricardo
soviética soviet
tomar take
necesario necessary
filosofía philosophy
periodista journalist
periodista reporter
texas texas
jugar play
jugar playing
operación operation
papa dad
papa pope
papa potato
papa papa
latinos latinos
latinos latino
firma signing
firma signature
firma sign
nacionalidad nationality
nacionalidad citizenship
patrimonio patrimony
patrimonio estate
patrimonio heritage
regiones regions
poesía poetry
hermana sister
decide decides
decide decide
alianza alliance
alianza alianza
respuesta answer
respuesta reply
respuesta response
google google
pruebas tests
pruebas testing
pruebas proof
pruebas evidence
richard richard
médico physician
médico doctor
médico medical
metro subway
metro metro
marina marina
marina navy
marina marines
marina marine
eventos events
exterior outdoor
exterior outside
exterior external
exterior exterior
músicos musicians
británica british
visto spotted
visto watched
visto viewed
visto seen
estudió studied
aquellos those
suiza switzerland
suiza swiss
coronel colonel
coronel coronel
parroquia parish
física physics
física physical
dan dan
presentó filed
anteriormente previously
anteriormente earlier
anteriormente formerly
práctica practice
práctica practical
grecia greece
zaragoza zaragoza
exposición exhibit
exposición exposition
exposición exhibition
exposición exposure
industrial industrial
industrial industrialist
asiáticos asiatic
asiáticos asian
asiáticos asians
cuadro table
cuadro painting
fundada founded
enfermedad illness
enfermedad disease
enfermedad sickness
nba nba
colonia cologne
colonia colonia
colonia colony
díaz díaz
díaz wayne
díaz diaz
pequeñas small
nación nation
show show
national national
anunció announced
extensión extension
régimen regimen
régimen scheme
régimen regime
dinero money
dinero cash
ahí there
suelo floor
suelo soil
aparición apparition
aparición emergence
aparición appearance
operaciones operations
operaciones transactions
concepto concept
calles streets
calles street
hechos facts
ambiente atmosphere
ambiente ambiance
ambiente environment
ambiente ambient
ambiente ambience
pronto soon
gestión managing
gestión management
hall hall
recibe receive
recibe receives
salida output
salida exit
salida departure
salida outlet
capítulo chapter
italiana italian
acciones shares
acciones actions
acciones stocks
acciones stock
pertenece belongs
cristo christ
cristo cristo
medicina medicine
medicina medical
evolución evolution
evolución developments
alcanzó peaked
alcanzó reached
modelos models
modelos model
venta sell
venta selling
venta sale
venta sales
tomó took
fundador founder
piano piano
procedencia origin
procedencia source
procedencia provenance
roberto robert
roberto roberto
ganar win
ganar winning
pintor painter
evento event
campeonatos championships
campeonatos championship
alemana german
rosario rosary
rosario rosario
menores underage
menores minors
menores minor
solamente only
pertenecían belonged
hispanos hispanic
hispanos hispanics
conocimiento knowledge
conocer meet
términos terms
debajo underneath
debajo below
debajo under
generación generation
generación generations
bronce brass
bronce bronze
tabla table
tabla board
vio saw
armada navy
armada armada
armada armed
armada army
pareja couple
pareja couples
pareja pair
pareja partner
producto product
producto proceeds
territorios territories
gol gol
gol goal
institución institution
ingeniero engineer
luna luna
luna moon
reconocimiento attribution
reconocimiento acknowledgement
reconocimiento recon
reconocimiento reconnaissance
reconocimiento recognition
península peninsula
escrita written
organizaciones organizations
organizaciones organisations
llevar carry
bahía bahia
bahía bay
adelante forward
asamblea assembly
cerro cerro
cerro hill
enlace liaison
enlace link
traducción translation
traducción translations
máxima maximum
máxima maxim
contaba counted
fundado founded
paraguay paraguay
alguien anyone
alguien someone
alguien somebody
ganador winner
estrellas stars
sangre blood
resistencia stamina
resistencia endurance
resistencia resistance
resistencia resilience
continuación continuation
continuación continued
conflicto conflicts
conflicto conflict
software software
volumen volume
xxi xxi
aérea aerial
técnico technician
técnico technical
técnico tech
humano human
